cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;92;225,4;369;1,15;88,5;89,7;0,05671999976038933;0,065
sem_barragem;93;226,3;370;0,48;88,1;88,6;0,05610999837517738;0,065
sem_barragem;94;227,1;371;0,35;41,8;42,1;0,054409999400377274;0,053
sem_barragem;95;227,8;372;0,84;43,0;43,8;0,03798000141978264;0,061
sem_barragem;96;228,5;373;1,0;42,0;43,0;0,05414000153541565;0,057
sem_barragem;97;230,9;376;0,57;92,7;93,3;0,06923999637365341;0,067
sem_barragem;98;233,4;380;0,45;19,8;20,2;0,021570000797510147;0,067
sem_barragem;99;235,0;382;1,74;17,7;19,4;0,007930000312626362;0,065
sem_barragem;100;235,2;382;0,82;17,3;18,1;0,06718999892473221;0,06
sem_barragem;101;236,1;384;0,43;40,7;41,1;0,061969999223947525;0,062
sem_barragem;102;237,8;386;1,05;39,2;40,2;0,018039999529719353;0,059
sem_barragem;103;238,4;387;0,41;38,2;38,7;0,0635799989104271;0,068
sem_barragem;104;238,7;387;0,83;16,8;17,6;0,02223999984562397;0,064
sem_barragem;105;239,7;389;1,13;21,9;23,1;0,008500000461935997;0,056
sem_barragem;106;240,9;390;0,72;23,3;24,0;0,06312999874353409;0,067
sem_barragem;107;242,0;392;1,09;77,1;78,2;0,05708000063896179;0,064
sem_barragem;108;243,3;394;0,78;36,9;37,7;0,018519999459385872;0,064
sem_barragem;109;244,1;395;0,94;76,3;77,3;0,0369499996304512;0,06
sem_barragem;110;245,4;396;0,14;73,0;73,1;0,047540001571178436;0,061
sem_barragem;111;249,1;402;1,53;20,8;22,3;0,01648000068962574;0,064
sem_barragem;112;250,5;403;0,67;34,0;34,7;0,015309999696910381;0,057
sem_barragem;113;250,7;404;0,82;32,4;33,2;0,013819999992847443;0,057
sem_barragem;114;251,8;405;1,27;18,9;20,1;0,004879999905824661;0,058
sem_barragem;115;253,4;407;1,73;16,8;18,6;0,004720000084489584;0,062
sem_barragem;116;254,8;409;8,59;13,5;22,1;0,0001900000061141327;0,064
sem_barragem;117;254,9;409;0,99;13,5;14,5;0,02387000061571598;0,067
sem_barragem;118;257,3;413;0,61;69,9;70,5;0,027370000258088112;0,058
sem_barragem;119;258,7;415;0,52;67,1;67,6;0,03457000106573105;0,066
sem_barragem;120;259,4;416;0,44;41,0;41,5;0,047600001096725464;0,067
sem_barragem;121;259,8;416;0,54;40,6;41,1;0,008709999732673168;0,043
sem_barragem;122;260,9;418;1,47;37,9;39,3;0,002580000087618828;0,054
sem_barragem;123;262,5;420;0,5;50,9;51,4;0,056299999356269836;0,067
sem_barragem;124;263,5;421;0,61;64,5;65,1;0,04628000035881996;0,067
sem_barragem;125;273,3;434;0,57;14,8;15,4;0,1300400048494339;0,06
sem_barragem;126;274,6;436;0,24;13,2;13,4;0,13387000560760498;0,068
sem_barragem;127;275,8;438;0,81;79,9;80,7;0,13102999329566956;0,056
sem_barragem;128;277,3;440;0,11;137,5;137,6;0,12783999741077423;0,038
sem_barragem;129;278,3;441;0,72;13,1;13,9;0,007739999797195196;0,067
sem_barragem;130;284,3;449;0,3;131,5;131,8;0,11123000085353851;0,062
sem_barragem;131;285,6;451;0,22;58,8;59,0;0,1132500022649765;0,065
sem_barragem;132;286,6;452;0,35;36,1;36,5;0,11455000191926956;0,051
sem_barragem;133;287,3;453;0,94;36,6;37,6;0,041030000895261765;0,065
sem_barragem;134;287,9;454;0,54;34,5;35,0;0,04416999965906143;0,047
sem_barragem;135;288,2;454;0,39;22,2;22,6;0,11112000048160553;0,048
sem_barragem;136;288,3;455;1,2;7,7;8,9;0,10761000216007233;0,057
sem_barragem;137;289,5;456;0,53;115,6;116,1;0,1080000028014183;0,058
sem_barragem;138;291,1;458;0,35;36,8;37,1;0,09043999761343002;0,066
sem_barragem;139;291,8;459;1,26;62,0;63,3;0,0919099971652031;0,063
sem_barragem;140;293,2;461;1,22;61,0;62,2;0,04510999843478203;0,062
sem_barragem;141;294,4;463;1,35;12,1;13,5;0,00394000019878149;0,06
sem_barragem;142;295,2;464;1,04;13,3;14,3;0,09160999953746796;0,065
sem_barragem;143;296,9;466;0,27;35,6;35,9;0,022579999640583992;0,061
sem_barragem;144;297,8;467;0,83;57,5;58,3;0,09470999985933304;0,068
sem_barragem;145;298,9;469;0,84;7,6;8,4;0,04562000185251236;0,062
sem_barragem;146;300,4;471;2,68;54,2;56,9;0,007280000019818544;0,063
sem_barragem;147;301,2;472;0,18;13,9;14,1;0,09176000207662582;0,059
sem_barragem;148;301,5;472;0,86;78,1;79,0;0,09307000041007996;0,058
sem_barragem;149;304,4;476;0,35;106,7;107,0;0,09401000291109085;0,062
sem_barragem;150;304,9;477;0,67;8,9;9,6;0,08596000075340271;0,047
sem_barragem;151;305,4;477;1,98;97,7;99,7;0,08183000236749649;0,067
sem_barragem;152;306,1;478;0,76;6,8;7,6;0,08083000034093857;0,06
sem_barragem;153;307,0;479;0,77;11,5;12,3;0,07761000096797943;0,067
sem_barragem;154;309,8;483;1,71;50,5;52,2;0,04236999899148941;0,066
sem_barragem;155;310,7;484;0,69;11,2;11,9;0,03931000083684921;0,064
sem_barragem;156;311,3;485;0,95;11,3;12,2;0,03590000048279762;0,058
sem_barragem;157;312,0;486;1,64;25,5;27,2;0,039500001817941666;0,064
sem_barragem;158;315,7;491;1,84;40,5;42,4;0,010579999536275864;0,065
sem_barragem;159;318,1;494;2,38;39,0;41,3;0,012659999541938305;0,066
sem_barragem;160;320,9;498;2,52;36,5;39,0;0,0043299999088048935;0,063
sem_barragem;161;322,3;500;2,2;33,5;35,7;0,004360000137239695;0,059
sem_barragem;162;328,2;507;0,67;4,6;5,3;0,022709999233484268;0,067
sem_barragem;163;329,7;509;2,05;3,1;5,1;0,0013699999544769526;0,054
sem_barragem;164;332,5;513;0,78;28,7;29,5;0,02353999949991703;0,062
sem_barragem;165;340,9;524;0,88;84,3;85,2;0,0727199986577034;0,069
sem_barragem;166;343,0;527;1,57;4,6;6,2;0,00419999985024333;0,068
sem_barragem;167;343,6;528;1,51;2,4;3,9;0,004279999993741512;0,056
sem_barragem;168;344,1;528;10,13;2,0;12,1;0,0001;0,064
sem_barragem;169;344,1;528;21,97;2,0;24,0;0,0001;0,056
sem_barragem;171;344,1;528;11,77;2,0;13,8;0,0001;0,045
sem_barragem;177;344,3;529;10,17;1,5;11,7;0,0001;0,058
sem_barragem;178;344,4;529;23,18;1,5;24,7;0,0001;0,062
sem_barragem;179;344,4;529;19,01;1,5;20,5;0,0001;0,056
sem_barragem;180;344,4;529;20,93;1,5;22,4;0,0001;0,05
sem_barragem;181;344,4;529;25,93;1,5;27,4;0,0001;0,047
sem_barragem;191;348,5;534;0,57;1,5;2,1;0,027480000630021095;0,068
sem_barragem;192;353,9;541;1,94;31,9;33,9;0,001449999981559813;0,038
sem_barragem;193;359,9;549;0,55;77,3;77,8;0,07337000221014023;0,065
sem_barragem;194;363,1;553;1,03;27,8;28,8;0,04583999887108803;0,064
sem_barragem;195;368,5;560;0,6;31,7;32,3;0,009829999879002571;0,066
sem_barragem;196;369,0;561;2,14;30,7;32,9;0,001449999981559813;0,068
sem_barragem;197;370,0;562;1,23;30,1;31,4;0,001129999989643693;0,048
sem_barragem;198;376,5;570;1,09;28,9;30,0;0,0419900007545948;0,067
sem_barragem;199;377,0;571;2,15;29,1;31,3;0,0014799999771639705;0,067
sem_barragem;200;377,6;572;0,61;29,0;29,6;0,04416999965906143;0,054
sem_barragem;201;378,3;573;0,88;73,0;73,8;0,04422000050544739;0,06
sem_barragem;202;380,1;575;1,64;28,3;29,9;0,03886999934911728;0,067
sem_barragem;203;382,6;578;2,28;71,7;74,0;0,006430000066757202;0,063
sem_barragem;204;387,1;584;3,17;68,3;71,4;0,002580000087618828;0,065
sem_barragem;205;390,3;588;1,27;66,3;67,6;0,019670000299811363;0,067
sem_barragem;206;390,8;589;1,88;62,6;64,5;0,01779000088572502;0,061
sem_barragem;207;392,5;591;0,99;60,1;61,1;0,018309999257326126;0,061
sem_barragem;208;393,7;592;1,03;59,8;60,8;0,029519999399781227;0,067
sem_barragem;209;395,0;594;1,52;42,5;44,0;0,027639999985694885;0,064
sem_barragem;210;395,8;595;0,64;65,4;66,1;0,05663999915122986;0,06
sem_barragem;211;396,7;596;1,0;40,5;41,5;0,053860001266002655;0,064
sem_barragem;212;397,2;597;0,6;28,1;28,7;0,012760000303387642;0,045
sem_barragem;213;397,7;598;0,73;39,6;40,4;0,05519000068306923;0,062
sem_barragem;214;398,4;598;1,05;57,7;58,8;0,05415000021457672;0,057
sem_barragem;215;399,0;599;1,2;57,4;58,6;0,04230000078678131;0,066
sem_barragem;216;402,6;604;2,39;39,0;41,4;0,04228999838232994;0,066
sem_barragem;217;403,6;605;2,17;37,9;40,0;0,043529998511075974;0,067
sem_barragem;218;404,4;606;1,05;35,5;36,5;0,04789000004529953;0,067
sem_barragem;219;405,2;607;1,42;73,5;74,9;0,04741999879479408;0,065
sem_barragem;220;411,0;615;2,09;53,8;55,9;0,035610001534223557;0,067
sem_barragem;221;411,7;615;2,07;70,9;73,0;0,03589000180363655;0,062
sem_barragem;222;413,0;617;2,19;34,5;36,7;0,03246000036597252;0,066
sem_barragem;223;414,2;619;2,31;31,5;33,8;0,03375000134110451;0,067
