nome;potencia_MW;area_drenagem_km2;cota_NA_atual_m;area_espelho_atual_km2;altura_cenario_m;volume_limite_upper_hm3;percentual_do_necessario;custo_baixo_MRS;custo_base_MRS;custo_alto_MRS
Linha Emília;19,5;2289.7;180.0;0,67;10;9,2;0,28482972136222906;13,015310835452755;26,526315789473678;48,006846405637035
Linha Emília;19,5;2289.7;180.0;0,67;15;16,0;0,4953560371517028;22,63532319209175;46,13272311212814;83,49016766197747
Linha Emília;19,5;2289.7;180.0;0,67;20;24,7;0,7647058823529411;34,943280177791635;71,21739130434781;128,8879463281777
Monte Cuco;30,0;2123.6;131.0;0,01;1;0,0;0,0;0,0;0,0;0,0
Monte Cuco;30,0;2123.6;131.0;0,01;2;0,0;0,0;0,0;0,0;0,0
Monte Cuco;30,0;2123.6;131.0;0,01;3;0,0;0,0;0,0;0,0;0,0
Monte Cuco;30,0;2123.6;131.0;0,01;5;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Monte Cuco;30,0;2123.6;131.0;0,01;8;0,3;0,009287925696594427;0,4244123098517203;0,8649885583524026;1,5654406436620774
Monte Cuco;30,0;2123.6;131.0;0,01;10;0,5;0,015479876160990712;0,7073538497528672;1,4416475972540044;2,609067739436796
Monte Cuco;30,0;2123.6;131.0;0,01;15;1,7;0,05263157894736842;2,4050030891597483;4,901601830663615;8,870830314085104
Monte Cuco;30,0;2123.6;131.0;0,01;20;3,7;0,11455108359133127;5,234418488171218;10,668192219679632;19,307101271832288
Pezzi;19,0;1962.2;565.5;0,59;1;0,1;0,0030959752321981426;0,14147076995057345;0,2883295194508009;0,5218135478873591
Pezzi;19,0;1962.2;565.5;0,59;2;0,8;0,02476780185758514;1,1317661596045876;2,306636155606407;4,174508383098873
Pezzi;19,0;1962.2;565.5;0,59;3;1,6;0,04953560371517028;2,263532319209175;4,613272311212814;8,349016766197746
Pezzi;19,0;1962.2;565.5;0,59;5;3,8;0,11764705882352941;5,3758892581217905;10,956521739130432;19,828914819719646
Pezzi;19,0;1962.2;565.5;0,59;8;8,5;0,2631578947368421;12,025015445798743;24,508009153318074;44,35415157042553
Pezzi;19,0;1962.2;565.5;0,59;10;12,5;0,38699690402476783;17,68384624382168;36,04118993135011;65,2266934859199
Pezzi;19,0;1962.2;565.5;0,59;15;25,1;0,7770897832817337;35,50916325759394;72,37070938215102;130,97520051972714
Pezzi;19,0;1962.2;565.5;0,59;20;41,9;1,2972136222910218;59,27625260929027;120,81006864988557;218,63987656480344
Autódromo;24,0;1784.7;282.0;0,38;1;0,0;0,0;0,0;0,0;0,0
Autódromo;24,0;1784.7;282.0;0,38;2;0,4;0,01238390092879257;0,5658830798022938;1,1533180778032035;2,0872541915494365
Autódromo;24,0;1784.7;282.0;0,38;3;0,8;0,02476780185758514;1,1317661596045876;2,306636155606407;4,174508383098873
