cenario;tempo_h;Q_natural_Estrela_m3s;Q_resultante_Estrela_m3s;Q_fora_E12_m3s
C01;156,0;2087,052908164406;3493,0622079463087;395,10144612276963
C01;157,0;2034,2604465335653;3461,283768394915;385,1072682784376
C01;158,0;1983,1738331780914;3430,4322848641395;375,43602576450684
C01;159,0;1933,7465696461802;3400,4874262024177;366,0789159265364
C01;160,0;1885,9329643337037;3371,4289428424754;357,0272888549844
C01;161,0;1839,6881461175753;3343,236691181096;348,2726499661469
C01;162,0;1794,9680757145454;3315,890656193318;339,8066621525037
C01;163,0;1751,7295549051566;3289,370972357137;331,62114752890704
C01;164,0;1709,9302337567458;3263,6579429632375;323,70808879997816
C01;165,0;1669,528615973717;3238,7320578825606;316,05963027296656
C01;166,0;1630,4840624977348;3214,5740098628426;308,66807853930885
C01;167,0;1592,7567934750691;3191,16470942338;301,52590284706514
C01;168,0;1556,307888703065;3168,4852984155154;294,6257351854434
C01;169,0;1521,0992866625488;3146,517162314369;287,9603701016208
C01;170,0;1487,0937822380297;3125,2419413054977;281,5227642691562
C01;171,0;1454,255023222701;3104,6415402281623;275,30603582634683
C01;172,0;1422,5475057005428;3084,6981374350066;269,30346350201324
C01;173,0;1391,9365683933447;3065,394192625931;263,5084855453284
C01;174,0;1362,3883860560004;3046,7124537120326;257,914698475478
C01;175,0;1333,8699619992713;3028,635962763551;252,5158556661376
C01;176,0;1306,3491198150364;3011,1480610937706;247,30586577897623
C01;177,0;1279,794494375194;2994,232393528997;242,27879105964962
C01;178,0;1254,1755221714757;2977,8729119127584;237,42884550902588
C01;179,0;1229,4624310598824;2962,053877890578;232,75039294169648
C01;180,0;1205,6262294698342;2946,7598650197797;228,23794494315234
C01;181,0;1182,6386951348168;2931,975760247021;223,88615873637616
C01;182,0;1160,4723633980225;2917,6867647944523;219,6898349679733
C01;183,0;1139,1005151433853;2903,878394493692;215,64391542338922
C01;184,0;1118,4971643994177;2890,5364796050776;211,74348068018188
C01;185,0;1098,6370456604056;2877,647164158043;207,98374770778935
C01;186,0;1079,4956009667771;2865,196904846821;204,36006742170417
C01;187,0;1061,0489667838428;2853,1724695141293;200,86792219948035
C01;188,0;1043,2739607156248;2841,5609352539454;197,5029233655165
C01;189,0;1026,1480680880684;2830,349686163018;194,26080865111675
C01;190,0;1009,6494284337069;2819,526410769303;191,13743963589133
C01;191,0;993,7568219076206;2809,079099164146;188,12879917615356
C01;192,0;978,4496556625268;2798,9960398636454;185,2309888255777
C01;193,0;963,7079502088118;2789,265816423371;182,44022625300767
C01;194,0;949,512325783498;2779,8773038293193;179,75284266195618
C01;195,0;935,8439887503172;2770,8196646867896;177,16528021599362
C01;196,0;922,6847180514101;2762,0823452276873;174,67408947390936
C01;197,0;910,0168517295458;2753,655071155638;172,27592683822397
C01;198,0;897,8232735382501;2745,527843347202;169,96755202034302
C01;199,0;886,0873996557889;2737,6909334264515;167,7458255253721
C01;200,0;874,793165517595;2730,1348792291437;165,60770615935462
C01;201,0;863,9250127804395;2722,850480171802;163,55024856144922
C01;202,0;853,4678764304288;2715,8287925400455;161,57060076333659
C01;203,0;843,4071720457692;2709,061124709674;159,66600177792384
C01;204,0;833,7287832241556;2702,539032313134;157,83377921921488
C01;205,0;824,4190491836107;2696,2543133631902;156,0713469550166
C01;206,0;815,4647525446641;2690,199003344884;154,37620279397498
C01;207,0;806,8531073008367;2684,3653702860624;152,74592620825817
C01;208,0;798,5717469835557;2678,7459098161307;151,17817609304944
C01;209,0;790,608713026839;2673,333340221943;149,67068856385663
C01;210,0;782,9524433363216;2668,1205975091493;148,2212747925068
C01;211,0;775,591761066525;2663,1008304767042;146,827818882563
C01;212,0;768,5158636095896;2658,2673958116366;145,48827578477426
C01;213,0;761,7143117981077;2653,6138532106643;144,20066925305534
C01;214,0;755,1770193241022;2649,1339605346975;142,96308984138687
C01;215,0;748,8942423756862;2644,821669001781;141,77369294192383
C01;216,0;742,8565694924317;2640,67111842356;140,6306968645086
C01;217,0;737,05491164003;2636,6766324899104;139,53238095769746
C01;218,0;731,4804925043923;2632,832714105948;138,47708377133048
C01;219,0;726,1248390049553;2629,1340407852445;137,46320126059857
C01;220,0;720,9797720265932;2625,5754601026947;136,4891850314953
C01;221,0;716,0373973691994;2622,1519852101223;135,55354062747574
C01;222,0;711,2900969137004;2618,8587904173937;134,6548258570885
C01;223,0;706,7305200029791;2615,6912068414777;133,7916491622924
C01;224,0;702,3515750359345;2612,644718125605;132,96266802712174
C01;225,0;698,14642127266;2609,7149562303935;132,16658742631913
C01;226,0;694,1084608485205;2606,897697298568;131,40215831351466
C01;227,0;690,2313309947076;2604,188857594618;130,66817614849398
C01;228,0;686,5088964626866;2601,584489520556;129,96347946306474
C01;229,0;682,9352421497834;2599,0807777086893;129,2869484650017
C01;230,0;679,5046659230313;2596,6740351921308;128,63750367952366
C01;231,0;676,211671638264;2594,360699653604;128,0141046277335
C01;232,0;673,050962351342;2592,1373297528853;127,4157485414305
C01;233,0;670,0174337183;2590,000601533115;126,84146911368764
C01;234,0;667,1061675811204;2587,947304906012;126,29033528456993
C01;235,0;664,3124257357725;2585,9743402159274;125,76145006135754
C01;236,0;661,6316438790972;2584,078714882513;125,2539493726262
C01;237,0;659,0594257310669;2582,2575401216923;124,76700095552842
C01;238,0;656,591537328919;2580,5080277444827;124,29980327561151
C01;239,0;654,2239014896237;2578,827487033139;123,85158447850377
C01;240,0;651,9525924371363;2577,213321693999;123,42160137279578
C01;241,0;649,7738305908658;2575,6630268863014;123,00913844344161
C01;242,0;647,6839775117876;2574,174186326208;122,61350689500419
C01;243,0;645,6795310026337;2572,7444694651663;122,23404372406857
C01;244,0;643,7571203585951;2571,371628741684;121,87011082014928
C01;245,0;641,9135017649933;2570,053496905574;121,52109409442018
C01;246,0;640,145553838389;2568,7879844136005;121,18640263559872
C01;247,0;638,4502733076251;2567,5730768955036;120,86546789232112
C01;248,0;636,8247708313273;2566,4068326892616;120,55774288135036
C01;249,0;635,2662669484166;2565,287380444466;120,26270142096519
C01;250,0;633,7720881582295;2564,2129167926355;119,97983738888458
C01;251,0;632,3396631268713;2563,1817040832707;119,70866400409014
C01;252,0;630,9665190164808;2562,1920681844354;119,4487131319163
C01;253,0;629,6502779341192;2561,2423963466185;119,19953461178734
C01;254,0;628,3886534970526;2560,331135128647;118,96069560698834
C01;255,0;627,1794475112384;2559,456788384363;118,7317799758673
C01;256,0;626,0205467598837;2558,6179153088283;118,51238766387472
C01;257,0;624,9099198989904;2557,813128542752;118,30213411585724
C01;258,0;623,8456144568614;2557,0410923338877;118,10064970803198
C01;259,0;622,8257539345939;2556,3005207541187;117,90757919907885
C01;260,0;621,8485350046412;2555,59017597095;117,72258119979843
C01;261,0;620,9122248045866;2554,9088665721565;117,54532766079424
C01;262,0;620,0151583233225;2554,2554459423036;117,37550337764874
C01;263,0;619,1557358768947;2553,628810689901;117,21280551307346
C01;264,0;618,3324206713237;2553,0278991239384;117,05694313552499
C01;265,0;617,5437364497753;2552,4516897785743;116,90763677378928
C01;266,0;616,7882652215138;2551,8991999847467;116,76461798704811
C01;267,0;616,0646450701257;2551,3694844875076;116,62762894995252
C01;268,0;615,3715680385653;2550,86163410788;116,49642205223913
C01;269,0;614,7077780886254;2550,374774448065;116,3707595124362
C01;270,0;614,0720691325015;2549,908064638843;116,25041300521771
C01;271,0;613,4632831341695;2549,4606961279987;116,1351633019738
C01;272,0;612,8803082783579;2549,0318915086823;116,02479992417764
C01;273,0;612,3220772049498;2548,620903386562;115,91912080913872
C01;274,0;611,7875653067058;2548,227013284712;115,81793198774378
C01;275,0;611,275789088258;2547,8495305851334;115,72104727379669
C01;276,0;610,7858045843738;2547,4877915058873;115,62828796457883
C01;277,0;610,3167058355464;2547,1411581127886;115,53948255226224
C01;278,0;609,867623419022;2546,809017364671;115,45446644581715
C01;279,0;609,4377230334228;2546,4907801912136;115,373081703066
C01;280,0;609,0262041351787;2546,1858806023797;115,29517677254552
C01;281,0;608,6322986250315;2545,893774828505;115,2206062448478
C01;282,0;608,2552695829232;2545,613940490131;115,1492306131211
C01;283,0;607,8944100496295;2545,345875796639;115,08091604242011
C01;284,0;607,5490418535479;2545,089098772853;115,01553414760428
C01;285,0;607,2185144810956;2544,8431465126955;114,95296177949221
C01;286,0;606,9022039892194;2544,607574459088;114,89308081898795
C01;287,0;606,5995119585632;2544,381955709262;114,83577797890457
C01;288,0;606,3098644858837;2544,165880344675;114,78094461321759
C01;289,0;606,0327112143483;2543,958954784744;114,72847653348997
C01;290,0;605,7675244003889;2543,7608011636667;114,67827383221768
C01;291,0;605,5137980158299;2543,5710567295296;114,63024071285277
C01;292,0;605,271046884044;2543,389373265042;114,58428532626849
C01;293,0;605,0388058489339;2543,215416529151;114,54031961343863
C01;294,0;604,8166289755706;2543,048865718864;114,49825915410985
C01;295,0;604,6040887813616;2542,8894129506234;114,45802302125347
C01;296,0;604,4007754966532;2542,7367627605654;114,41953364108969
C01;297,0;604,2062963537103;2542,590631623054;114,3827166584838
C01;298,0;604,0202749030503;2542,4507474868656;114,3475008075209
C01;299,0;603,8423503561398;2542,3168493284297;114,3138177870713
C01;300,0;603,672176953497;2542,188686721559;114,28160214116565
C01;301,0;603,5094233572747;2542,066019423098;114,25079114400427
C01;302,0;603,3537720674267;2541,948616973949;114,2213246894313
C01;303,0;603,2049188605941;2541,8362583149524;114,19314518470982
C01;304,0;603,0625722508743;2541,7287314171017;114,16619744843972
C01;305,0;602,926452971665;2541,6258329256084;114,14042861246512
C01;306,0;602,7962934778025;2541,5273678173157;114,11578802762394
C01;307,0;602,6718374672406;2541,433149071019;114,09222717319646
C01;308,0;602,5528394215414;2541,3429973502234;114,0696995699155
C01;309,0;602,4390641644763;2541,256740697904;114,04816069640464
C01;310,0;602,3302864380562;2541,1742142428507;114,0275679089164
C01;311,0;602,2262904953383;2541,0952599171733;114,0078803642461
C01;312,0;602,1268697093759;2541,019726184594;113,98905894570194
C01;313,0;602,0318261977012;2540,9474677791095;113,97106619201544
C01;314,0;601,9409704617519;2540,878345453673;113,95386622908127
C01;315,0;601,8541210406764;2540,812225738531;113,93742470441862
C01;316,0;601,7711041789661;2540,7489807088614;113,92170872425058
C01;317,0;601,6917535073893;2540,6884877613825;113,90668679310158
C01;318,0;601,615909736718;2540,6306293995926;113,89232875581635
C01;319,0;601,5434203637532;2540,5752930273466;113,87860574190768
C01;320,0;601,4741393891799;2540,5223707504424;113,86549011214301
C01;321,0;601,4079270467914;2540,471759185939;113,85295540728407
C01;322,0;601,3446495436475;2540,4233592789137;113,84097629889567
C01;323,0;601,2841788107386;2540,37707612638;113,82952854214406
C01;324,0;601,2263922637517;2540,3328188081146;113,81858893050718
C01;325,0;601,1711725735422;2540,2905002241164;113,80813525232257
C01;326,0;601,1184074459344;2540,2500369384693;113,79814624910125
C01;327,0;601,0679894104853;2540,2113490293577;113,78860157553851
C01;328,0;601,019815617861;2540,1743599450037;113,77948176115497
C01;329,0;600,973787645487;2540,1389963653164;113,77076817350421
C01;330,0;600,9298113111475;2540,1051880690115;113,76244298288508
C01;331,0;600,8877964942196;2540,0728678060295;113,75448912849936
C01;332,0;600,847656964241;2540,0419711750187;113,74689028599795
C01;333,0;600,8093102165212;2540,0124365057095;113,73963083636019
C01;334,0;600,7726773145173;2539,9842047459897;113,73269583605386
C01;335,0;600,7376827387029;2539,957219353494;113,72607098842464
C01;336,0;600,7042542416757;2539,9314261915547;113,71974261626623
C01;337,0;600,6723227092515;2539,9067734293094;113,71369763552407
C01;338,0;600,6418220273066;2539,8832114458482;113,70792353008716
C01;339,0;600,6126889541389;2539,8606927382193;113,70240832762461
C01;340,0;600,584862998125;2539,8391718331404;113,6971405764249
C01;341,0;600,5582863004622;2539,818605202294;113,69210932319761
C01;342,0;600,532903522789;2539,7989511810424;113,6873040917988
C01;343,0;600,508661739488;2539,780169890451;113,68271486284281
C01;344,0;600,4855103344829;2539,7622231624723;113,67833205416484
C01;345,0;600,463400902346;2539,7450744681823;113,6741465020995
C01;346,0;600,4422871535432;2539,7286888489375;113,6701494435427
C01;347,0;600,4221248236469;2539,713032850348;113,66633249876469
C01;348,0;600,4028715863569;2539,698074458946;113,66268765494398
C01;349,0;600,3844869701735;2539,6837830414524;113,65920725039264
C01;350,0;600,3669322785731;2539,6701292865337;113,65588395944472
C01;351,0;600,3501705135446;2539,657085148948;113,65271077798084
C01;352,0;600,334166302348;2539,6446237959985;113,64968100956283
C01;353,0;600,3188858273626;2539,6327195561803;113,64678825215331
C01;354,0;600,3042967589009;2539,6213478699565;113,6440263853965
