evento_guapore;pico_guapore_total_m3s;eixos_antas;eixos_forqueta;regra_operativa;defasagem_guapore_h;altura_gu1_m;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_4000_m3s;area_controlada_antas_km2;area_controlada_gu1_km2;area_controlada_forqueta_km2;volume_gu1_hm3;volume_antas_hm3;volume_forqueta_hm3;volume_total_hm3;reservatorio_saturou;observacao
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;comportas;0;30,0;11684,7;8597,2;26,42;4597,2;15759,8;1993,7;0,0;13,3;2096,9;0,0;2110,2;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;comportas;0;50,0;11684,7;8597,2;26,42;4597,2;15759,8;1993,7;0,0;54,2;2096,9;0,0;2151,1;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;comportas;0;70,0;11684,7;8448,3;27,7;4448,3;15759,8;1993,7;0,0;140,1;2096,9;0,0;2237,0;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;comportas;0;100,0;11684,7;4994,5;57,26;994,5;15759,8;1993,7;0,0;372,0;2096,9;0,0;2468,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;comportas;0;120,0;11684,7;4994,5;57,26;994,5;15759,8;1993,7;0,0;372,0;2096,9;0,0;2468,9;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;seca;0;0,0;12362,3;9346,3;24,4;5346,3;15759,8;0,0;2204,2;0,0;2337,7;148,4;2486,1;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;seca;0;30,0;12362,3;9405,8;23,92;5405,8;15759,8;1993,7;2204,2;21,7;2337,7;148,4;2507,8;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;seca;0;50,0;12362,3;9405,8;23,92;5405,8;15759,8;1993,7;2204,2;87,2;2337,7;148,4;2573,3;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;seca;0;70,0;12362,3;9276,0;24,97;5276,0;15759,8;1993,7;2204,2;223,9;2337,7;148,4;2710,0;True;"GU1 preliminar; CAV sintética e pico diário transposto"
pico_historico_santa_lucia;5106,3;E02+E04+E01+E05+E08+E12;FQ2;seca;0;100,0;12362,3;6165,8;50,12;2165,8;15759,8;1993,7;2204,2;377,3;2337,7;148,4;2863,5;True;"GU1 preliminar; CAV sintética e pico diário transposto"
