alternativa_antas;eixos_antas;cenario_forqueta;eixos_forqueta;regra_operativa;fisicamente_admissivel;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_preliminar_m3s;razao_limiar_preliminar;reducao_em_relacao_evento_2023_pct;area_controlada_antas_km2;area_controlada_forqueta_km2;volume_usado_antas_hm3;volume_usado_forqueta_hm3;volume_usado_total_hm3;algum_reservatorio_saturou;observacao
ALT-E;E02+E04+E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;7402,8;56,2;3402,8;1,851;57,11;15759,8;2350,1;2076,6;223,5;2300,0;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-E;E02+E04+E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;15822,9;6,39;11822,9;3,956;8,33;15759,8;2350,1;500,9;44,4;545,3;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-F;E02;SEM_FORQUETA;-;seca;True;16903,1;14622,9;13,49;10622,9;3,656;15,28;3591,2;0,0;538,1;0,0;538,1;False;
ALT-F;E02;SEM_FORQUETA;-;comportas;True;16903,1;14641,3;13,38;10641,3;3,66;15,18;3591,2;0,0;508,1;0,0;508,1;False;
ALT-F;E02;SEM_FORQUETA;-;convencional;True;16903,1;16278,0;3,7;12278,0;4,07;5,69;3591,2;0,0;170,8;0,0;170,8;True;
ALT-F;E02;FQ1;FQ1;seca;True;16903,1;14736,9;12,82;10736,9;3,684;14,62;3591,2;2350,1;538,1;212,3;750,4;False;
ALT-F;E02;FQ1;FQ1;comportas;True;16903,1;14659,8;13,27;10659,8;3,665;15,07;3591,2;2350,1;508,1;142,8;650,9;True;
ALT-F;E02;FQ1;FQ1;convencional;True;16903,1;16292,0;3,62;12292,0;4,073;5,61;3591,2;2350,1;170,8;27,8;198,5;True;
ALT-F;E02;FQ2;FQ2;seca;True;16903,1;14638,8;13,4;10638,8;3,66;15,19;3591,2;2204,2;538,1;148,4;686,5;True;
ALT-F;E02;FQ2;FQ2;comportas;True;16903,1;14658,7;13,28;10658,7;3,665;15,08;3591,2;2204,2;508,1;89,7;597,8;True;
ALT-F;E02;FQ2;FQ2;convencional;True;16903,1;16291,1;3,62;12291,1;4,073;5,62;3591,2;2204,2;170,8;16,6;187,4;True;
ALT-F;E02;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;14736,9;12,82;10736,9;3,684;14,62;3591,2;2350,1;538,1;229,5;767,6;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-F;E02;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;14739,8;12,8;10739,8;3,685;14,61;3591,2;2350,1;508,1;223,5;731,6;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-F;E02;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;16305,8;3,53;12305,8;4,076;5,53;3591,2;2350,1;170,8;44,4;215,1;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-G;E04;SEM_FORQUETA;-;seca;True;16903,1;12112,1;28,34;8112,1;3,028;29,83;7497,5;0,0;1131,2;0,0;1131,2;False;
ALT-G;E04;SEM_FORQUETA;-;comportas;True;16903,1;12191,8;27,87;8191,8;3,048;29,37;7497,5;0,0;1060,8;0,0;1060,8;False;
ALT-G;E04;SEM_FORQUETA;-;convencional;True;16903,1;16360,7;3,21;12360,7;4,09;5,22;7497,5;0,0;233,0;0,0;233,0;True;
ALT-G;E04;FQ1;FQ1;seca;True;16903,1;12241,2;27,58;8241,2;3,06;29,08;7497,5;2350,1;1131,2;212,3;1343,5;False;
ALT-G;E04;FQ1;FQ1;comportas;True;16903,1;12212,1;27,75;8212,1;3,053;29,25;7497,5;2350,1;1060,8;142,8;1203,6;True;
ALT-G;E04;FQ1;FQ1;convencional;True;16903,1;16373,4;3,13;12373,4;4,093;5,14;7497,5;2350,1;233,0;27,8;260,7;True;
ALT-G;E04;FQ2;FQ2;seca;True;16903,1;12128,0;28,25;8128,0;3,032;29,74;7497,5;2204,2;1131,2;148,4;1279,6;True;
ALT-G;E04;FQ2;FQ2;comportas;True;16903,1;12210,8;27,76;8210,8;3,053;29,26;7497,5;2204,2;1060,8;89,7;1150,5;True;
ALT-G;E04;FQ2;FQ2;convencional;True;16903,1;16372,6;3,14;12372,6;4,093;5,15;7497,5;2204,2;233,0;16,6;249,6;True;
ALT-G;E04;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;12241,2;27,58;8241,2;3,06;29,08;7497,5;2350,1;1131,2;229,5;1360,7;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
