t_h;Natural em Estrela;Afluente ao reservatório;Efluente (comportas);Resultante em Estrela
222;591,623119846345;497,450430784031;497,76323333389;591,935922396204
223;590,918237087393;496,857749023751;497,154089903891;591,214577967533
224;590,250497627985;496,29629821057;496,57702361716;590,531223034575
225;589,617989118134;495,764470396299;496,030384303435;589,883903025269
226;589,018894820226;495,260738025847;495,512604211073;589,270761005452
227;588,451489009808;494,783650070097;495,022194047972;588,690032987683
228;587,914132585991;494,331828335034;494,557739202566;588,140043453522
229;587,405268882685;493,903963939732;494,117896137383;587,619201080336
230;586,923419672168;493,498813956062;493,701388947897;587,125994664003
231;586,467181352831;493,115198203261;493,307006079662;586,658989229232
232;586,035221313228;492,751996190741;492,933597197001;586,216822319489
233;585,626274464861;492,408144202771;492,580070196756;585,798200458846
234;585,239139936416;492,082632518919;492,245388360845;585,401895778341
235;584,872677922438;491,774502764344;491,928567641632;585,026742799726
236;584,525806679721;491,482845384287;491,628674074315;584,67163536975
237;584,197499664922;491,206797237311;491,344821310799;584,33552373841
238;583,886782807188;490,945539302071;491,076168269691;584,017411774808
239;583,592731909828;490,698294492568;490,821916897319;583,71635431458
240;583,314470175281;490,464325577091;490,581310034829;583,431454633019
241;583,051165847882;490,242933196202;490,353629386647;583,161862038327
242;582,802029969147;490,033453975321;490,138193585761;582,906769579587
243;582,566314240506;489,835258727668;489,934356351495;582,665411864332
244;582,343308988622;489,647750743455;489,741504735561;582,437062980729
245;582,132341228654;489,470364161428;489,559057452441;582,221034519668
246;581,932772820978;489,302562419002;489,386463290215;582,016673692191
247;581,743998717109;489,143836777389;489,223199598195;581,823361537915
248;581,56544529072;488,993704918279;489,068770847834;581,640511220275
249;581,396568749836;488,851709608775;488,922707263527;581,467566404588
250;581,236853626445;488,717417431428;488,784563520101;581,303999715119
251;581,085811339942;488,590417576339;488,653917503883;581,149311267486
252;580,942978830953;488,470320692457;488,530369134398;581,003027272895
253;580,807917262264;488,356757795279;488,413539243868;580,864698710853
254;580,680210783696;488,249379228339;488,303068511809;580,733900067166
255;580,559465357924;488,147853675922;488,198616452131;580,610228134133
256;580,445307644369;488,051867224615;488,099860450268;580,493300870023
257;580,337383938396;487,961122471364;488,006494847989;580,382756315022
258;580,235359163216;487,875337675838;487,918230073601;580,278251560979
259;580,138915911959;487,794245954987;487,834791815413;580,179461772385
260;580,047753537543;487,717594517774;487,755920236381;580,08607925615
261;579,961587288027;487,645143938168;487,681369227971;579,99781257783
262;579,880147485283;487,57666746455;487,610905701359;579,914385722092
263;579,80317874489;487,51195036378;487,544308914165;579,835537295275
264;579,73043923526;487,450789298252;487,481369831016;579,761019768024
265;579,661699974098;487,392991734347;487,4218905163;579,69059875605
266;579,59674416038;487,33837538074;487,365683557544;579,624052337184
267;579,535366540127;487,286767655127;487,312571517934;579,561170402934
268;579,477372804317;487,238005177979;487,262386416553;579,501754042891
269;579,422579017365;487,191933291994;487,214969234987;579,445614960357
