situacao;nome;potencia_kW;municipio;lat;lon;area_drenagem_km2;cota_terreno_m;curso_dagua
operacao;Santa Carolina;10500,00;;-28,61465278;-51,40290556;1331,6;480,6;7868
operacao;Saltinho;800,00;;-28,61921269;-51,35502379;1331,6;517,0;7868
operacao;Faxinal;1000,00;;-28,6475;-51,35444444;1331,6;544,5;7868
estudo;Jaquirana;6,250;;-28,86;-50,32;1338,8;860,6;786
operacao;Focchezan Energia;500,00;;-28,70444444;-51,84472222;1582,3;426,8;7866
operacao;Caçador;22500,00;;-28,70592052;-51,85079336;1583,4;425,0;7866
operacao;Boa Fé;24000,00;;-28,75277778;-51,84388889;1700,4;359,5;7866
estudo;Quebrada Funda;13,000;;-28,8;-50,43;1717,3;603,9;786
operacao;São Paulo;16000,00;;-28,77472222;-51,84305556;1748,2;322,5;7866
estudo;Buongiorno;10,250;;-28,8;-51,87;1769,2;289,3;7866
operacao;Autódromo;24000,00;;-28,82823578;-51,84216092;1816,4;280,0;7866
operacao;Pezzi;19000,00;;-28,792511;-50,56539253;2010,7;565,0;786
operacao;Guaporé;667,20;;-28,90709654;-51,94670265;2066,4;189,0;7864
estudo;Nelson José Zanelatto;5,690;;-29,21;-52,19;2079,5;147,2;7862
operacao;Monte Cuco;30000,00;;-28,96666667;-51,91666666;2143,9;167,4;7864
estudo;E20CA205;30,000;;-28,89;-51,81;2249,4;446,5;7866
operacao;Linha Emília;19500,00;;-28,94069116;-51,77335718;2314,1;179,6;7866
operacao;Cotiporã;19500,00;;-28,96282975;-51,7577345;2447,6;138,1;7866
operacao;Lixiguana;9000,00;;-28,63730408;-51,39736563;2489,2;414,0;7868
estudo;Barra do Ituim;7,400;;-28,65;-51,41;2510,3;475,1;7868
operacao;Catibiro;900,00;;-28,6541911;-51,46425851;2662,8;480,2;7868
estudo;Linha Tafona;11,100;;-28,68;-51,45;2678,7;392,5;7868
estudo;Foz do Segredinho;8,700;;-28,7;-51,44;2772,3;621,2;7868
estudo;Dalsasso;10,500;;-28,73;-51,43;2821,8;476,4;7868
estudo;Segredo;9,200;;-28,75;-51,44;2846,1;570,8;7868
estudo;Primavera do Rio Turvo;30,000;;-28,77;-51,43;2862,0;367,0;7868
estudo;Duque de Caxias;6,500;;-28,83;-51,49;3015,4;374,5;7868
operacao;Passo do Meio;30000,00;;-28,80639015;-50,61301669;3490,6;527,3;786
estudo;Foz do Prata;9,300;;-28,84;-51,45;3593,7;379,7;7868
operacao;Da Ilha;26000,00;;-28,89143806;-51,45587639;3633,1;279,4;7868
operacao;Jararaca;28000,00;;-28,93654917;-51,46532111;3732,0;268,3;7868
operacao;Foz do Prata;49365,00;;-28,9925;-51,47083333;3776,0;171,3;7868
operacao;Serra dos Cavalinhos I;25000,00;;-28,79569538;-50,72966788;3823,7;452,0;786
operacao;Serra dos Cavalinhos II;29025,00;;-28,79184163;-50,74647603;3830,6;437,4;786
estudo;Pião;7,200;;-28,82;-50,78;4168,6;558,9;786
estudo;Arroio Divisa;12,236;;-28,84;-50,84;5174,1;706,6;786
