dist_km;x;y;cota_m;area_km2;cota_talvegue_m;municipio
114,62538972810643;405794,4836056249;6736675,603858722;14,109999656677246;23088,08984375;14,0;Lajeado
114,65402677130763;405794,4836056249;6736646,966815521;14,109999656677246;23088,09765625;14,0;Lajeado
114,69452527780278;405823,12064882607;6736618,32977232;14,0;23088,111328125;14,0;Lajeado
114,73502378429792;405851,75769202725;6736589,692729119;14,0;23088,1328125;14,0;Lajeado
114,77552229079308;405880,3947352285;6736561,055685918;14,0;23088,1484375;14,0;Lajeado
114,80415933399428;405880,3947352285;6736532,4186427165;14,210000038146973;23088,15234375;14,0;Lajeado
114,83279637719548;405880,3947352285;6736503,781599515;14,270000457763672;23088,162109375;14,0;Lajeado
114,87329488369063;405909,0317784297;6736475,144556314;14,630000114440918;23088,1796875;14,0;Lajeado
114,90193192689183;405909,0317784297;6736446,507513112;14,319999694824219;23088,181640625;14,0;Lajeado
114,93056897009303;405909,0317784297;6736417,870469912;14,0;23088,181640625;14,0;Lajeado
114,95920601329425;405909,0317784297;6736389,233426711;14,0;23088,181640625;13,98;Cruzeiro do Sul
114,98784305649545;405909,0317784297;6736360,596383509;14,0;23088,18359375;13,96;Cruzeiro do Sul
115,01648009969665;405909,0317784297;6736331,959340308;14,0;23088,185546875;13,94;Cruzeiro do Sul
115,04511714289785;405909,0317784297;6736303,3222971065;14,0;23088,185546875;13,92;Cruzeiro do Sul
115,07375418609907;405909,0317784297;6736274,685253905;14,0;23088,185546875;13,9;Cruzeiro do Sul
115,10239122930027;405909,0317784297;6736246,048210705;14,0;23088,1875;13,88;Cruzeiro do Sul
115,13102827250147;405909,0317784297;6736217,411167503;14,0;23088,189453125;13,86;Cruzeiro do Sul
115,15966531570267;405909,0317784297;6736188,774124302;14,0;23329,263671875;13,84;Cruzeiro do Sul
115,20016382219782;405880,3947352285;6736160,137081101;14,0;23329,28125;13,82;Cruzeiro do Sul
115,24066232869296;405851,75769202725;6736131,500037899;14,0;23329,2890625;13,8;Cruzeiro do Sul
