eixo;altura_m;cota_NA_eixo_m;aproveitamento;situacao;potencia_kW;cota_existente_m;area_exist_km2;afogamento_m
E07;35;184,5;Linha Emília;operacao;19500,00;179,6;2314,1;4,9
E07;40;189,5;Guaporé;operacao;667,20;189,0;2066,4;0,5
E07;45;194,5;Salto Forqueta;operacao;6080,00;190,0;672,3;4,5
E07;75;224,5;Bugrinha;estudo;8,502;221,2;1150,7;3,3
E07;90;239,5;Castro Alves;operacao;130000,00;236,0;7700,0;3,5
E07;100;249,5;Queimado;estudo;8,060;247,1;1230,5;2,4
E07;115;264,5;Alto Constantino;estudo;8,000;264,2;892,8;0,3
E07;120;269,5;Jararaca;operacao;28000,00;268,3;3732,0;1,2
E08;10;158,0;Boa Vista;operacao;705,75;41,6;548,1;116,4
E08;10;158,0;Vale Fundo;estudo;5,600;135,7;706,2;22,3
E08;10;158,0;Vale do Leite;operacao;6400,00;130,9;753,4;27,1
E08;10;158,0;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;10,8
E08;10;158,0;Cotiporã;operacao;19500,00;138,1;2447,6;19,9
E08;20;168,0;Monte Cuco;operacao;30000,00;167,4;2143,9;0,6
E08;25;173,0;Foz do Prata;operacao;49365,00;171,3;3776,0;1,7
E08;35;183,0;Linha Emília;operacao;19500,00;179,6;2314,1;3,4
E08;45;193,0;Salto Forqueta;operacao;6080,00;190,0;672,3;3,0
E08;45;193,0;Guaporé;operacao;667,20;189,0;2066,4;4,0
E08;75;223,0;Bugrinha;estudo;8,502;221,2;1150,7;1,8
E08;90;238,0;Castro Alves;operacao;130000,00;236,0;7700,0;2,0
E08;100;248,0;Queimado;estudo;8,060;247,1;1230,5;0,9
E08;120;268,0;Alto Constantino;estudo;8,000;264,2;892,8;3,8
E09;10;116,0;Boa Vista;operacao;705,75;41,6;548,1;74,4
E09;25;131,0;Vale do Leite;operacao;6400,00;130,9;753,4;0,1
E09;30;136,0;Vale Fundo;estudo;5,600;135,7;706,2;0,3
E09;35;141,0;Cotiporã;operacao;19500,00;138,1;2447,6;2,9
E09;45;151,0;Nelson José Zanelatto;estudo;5,690;147,2;2079,5;3,8
E09;65;171,0;Monte Cuco;operacao;30000,00;167,4;2143,9;3,6
E09;70;176,0;Foz do Prata;operacao;49365,00;171,3;3776,0;4,7
