cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;159;318,1;546;2,5;39,0;41,5;0,012659999541938305;0,066
sem_barragem;160;320,9;550;2,64;36,5;39,1;0,0043299999088048935;0,063
sem_barragem;161;322,3;552;2,31;33,5;35,8;0,004360000137239695;0,059
sem_barragem;162;328,2;560;0,71;4,6;5,3;0,022709999233484268;0,067
sem_barragem;163;329,7;563;2,15;3,1;5,2;0,0013699999544769526;0,054
sem_barragem;164;332,5;567;0,83;28,7;29,6;0,02353999949991703;0,062
sem_barragem;165;340,9;579;0,93;84,3;85,3;0,0727199986577034;0,069
sem_barragem;166;343,0;582;1,64;4,6;6,3;0,00419999985024333;0,068
sem_barragem;167;343,6;583;1,58;2,4;4,0;0,004279999993741512;0,056
sem_barragem;168;344,1;583;10,48;2,0;12,5;0,0001;0,064
sem_barragem;169;344,1;584;23,52;2,0;25,5;0,0001;0,056
sem_barragem;171;344,1;584;12,42;2,0;14,4;0,0001;0,045
sem_barragem;177;344,3;584;10,57;1,5;12,1;0,0001;0,058
sem_barragem;178;344,4;584;24,34;1,5;25,8;0,0001;0,062
sem_barragem;179;344,4;584;20,07;1,5;21,6;0,0001;0,056
sem_barragem;180;344,4;584;22,46;1,5;24,0;0,0001;0,05
sem_barragem;181;344,4;584;27,83;1,5;29,3;0,0001;0,047
sem_barragem;191;348,5;590;0,59;1,5;2,1;0,027480000630021095;0,068
sem_barragem;192;353,9;598;2,02;31,9;33,9;0,001449999981559813;0,038
sem_barragem;193;359,9;606;0,57;77,3;77,8;0,07337000221014023;0,065
sem_barragem;194;363,1;611;1,07;27,8;28,9;0,04583999887108803;0,064
sem_barragem;195;368,5;618;0,63;31,7;32,3;0,009829999879002571;0,066
sem_barragem;196;369,0;619;2,22;30,7;32,9;0,001449999981559813;0,068
sem_barragem;197;370,0;621;1,3;30,1;31,4;0,001129999989643693;0,048
sem_barragem;198;376,5;630;1,13;28,9;30,0;0,0419900007545948;0,067
sem_barragem;199;377,0;631;2,24;29,1;31,4;0,0014799999771639705;0,067
sem_barragem;200;377,6;632;0,64;29,0;29,6;0,04416999965906143;0,054
sem_barragem;201;378,3;632;0,94;73,0;73,9;0,04422000050544739;0,06
sem_barragem;202;380,1;635;1,73;28,3;30,0;0,03886999934911728;0,067
sem_barragem;203;382,6;639;2,41;71,7;74,1;0,006430000066757202;0,063
sem_barragem;204;387,1;645;3,32;68,3;71,6;0,002580000087618828;0,065
sem_barragem;205;390,3;649;1,35;66,3;67,7;0,019670000299811363;0,067
sem_barragem;206;390,8;650;1,98;62,6;64,6;0,01779000088572502;0,061
sem_barragem;207;392,5;653;1,04;60,1;61,1;0,018309999257326126;0,061
sem_barragem;208;393,7;654;1,07;59,8;60,9;0,029519999399781227;0,067
sem_barragem;209;395,0;656;1,58;42,5;44,1;0,027639999985694885;0,064
sem_barragem;210;395,8;657;0,67;65,4;66,1;0,05663999915122986;0,06
sem_barragem;211;396,7;659;1,04;40,5;41,5;0,053860001266002655;0,064
sem_barragem;212;397,2;659;0,63;28,1;28,8;0,012760000303387642;0,045
sem_barragem;213;397,7;660;0,77;39,6;40,4;0,05519000068306923;0,062
sem_barragem;214;398,4;661;1,1;57,7;58,8;0,05415000021457672;0,057
sem_barragem;215;399,0;662;1,27;57,4;58,7;0,04230000078678131;0,066
sem_barragem;216;402,6;667;2,52;39,0;41,5;0,04228999838232994;0,066
sem_barragem;217;403,6;668;2,29;37,9;40,2;0,043529998511075974;0,067
sem_barragem;218;404,4;669;1,09;35,5;36,6;0,04789000004529953;0,067
sem_barragem;219;405,2;671;1,51;73,5;75,0;0,04741999879479408;0,065
sem_barragem;220;411,0;679;2,19;53,8;56,0;0,035610001534223557;0,067
sem_barragem;221;411,7;680;2,18;70,9;73,1;0,03589000180363655;0,062
sem_barragem;222;413,0;681;2,28;34,5;36,8;0,03246000036597252;0,066
sem_barragem;223;414,2;683;2,44;31,5;33,9;0,03375000134110451;0,067
sem_barragem;224;416,8;687;1,45;32,4;33,9;0,03438999876379967;0,063
sem_barragem;225;421,0;693;0,7;42,8;43,5;0,03674999997019768;0,069
sem_barragem;226;424,4;697;0,42;25,0;25,4;0,04574999958276749;0,067
sem_barragem;227;425,6;699;0,69;24,1;24,8;0,04495000094175339;0,055
sem_barragem;228;426,4;700;1,58;60,3;61,9;0,037289999425411224;0,061
sem_barragem;229;427,2;701;0,74;28,4;29,1;0,028620000928640366;0,063
sem_barragem;230;428,4;703;1,24;50,3;51,5;0,02377999946475029;0,062
sem_barragem;231;430,0;705;0,65;23,1;23,7;0,041099999099969864;0,063
sem_barragem;232;431,1;707;0,86;26,5;27,4;0,04140999913215637;0,06
sem_barragem;233;433,7;710;1,13;25,7;26,8;0,03172000125050545;0,063
sem_barragem;234;434,2;711;2,17;53,3;55,5;0,029850000515580177;0,062
sem_barragem;235;436,3;714;2,95;51,8;54,7;0,005539999809116125;0,063
sem_barragem;236;438,6;717;1,24;49,3;50,5;0,025709999725222588;0,063
sem_barragem;237;443,9;725;0,56;25,3;25,9;0,022530000656843185;0,065
sem_barragem;238;450,6;734;0,45;24,8;25,3;0,005280000157654285;0,061
sem_barragem;239;453,2;737;1,5;23,3;24,8;0,006130000110715628;0,067
sem_barragem;240;454,0;738;1,89;21,9;23,8;0,004610000178217888;0,046
sem_barragem;241;454,6;739;5,78;24,0;29,8;0,0042500002309679985;0,069
sem_barragem;242;456,0;741;5,21;21,8;27,0;0,003930000122636557;0,069
sem_barragem;243;463,4;751;0,35;24,2;24,6;0,00812000036239624;0,061
sem_barragem;244;463,4;752;5,89;22,6;28,4;0,0022899999748915434;0,035
sem_barragem;245;476,5;770;0,87;36,0;36,9;0,025210000574588776;0,066
sem_barragem;246;481,0;776;2,76;45,5;48,3;0,004780000075697899;0,065
sem_barragem;247;487,0;784;1,05;23,1;24,1;0,02191999927163124;0,068
sem_barragem;248;488,5;786;1,32;19,9;21,2;0,021209999918937683;0,068
sem_barragem;249;488,9;787;1,44;23,1;24,5;0,021159999072551727;0,05
sem_barragem;250;489,2;787;1,41;25,3;26,7;0,020959999412298203;0,067
sem_barragem;251;493,0;792;5,0;40,5;45,5;0,0013099999632686377;0,065
sem_barragem;252;494,1;794;0,26;39,0;39,3;0,013849999755620956;0,059
sem_barragem;253;501,8;804;2,29;23,1;25,3;0,00431999983265996;0,065
sem_barragem;254;504,6;808;1,56;19,4;21,0;0,0188400000333786;0,068
sem_barragem;255;506,2;810;2,49;38,0;40,5;0,017340000718832016;0,066
sem_barragem;256;508,8;814;3,91;36,4;40,3;0,001560000004246831;0,067
sem_barragem;257;510,0;815;3,41;34,5;37,9;0,00203000009059906;0,067
sem_barragem;258;513,9;821;1,84;32,0;33,8;0,013770000077784061;0,068
sem_barragem;259;516,7;824;1,06;16,6;17,7;0,014379999600350857;0,062
sem_barragem;260;517,7;826;2,19;30,5;32,7;0,015110000036656857;0,063
sem_barragem;261;518,3;827;0,97;29,5;30,5;0,012539999559521675;0,057
sem_barragem;262;519,1;828;2,22;29,5;31,7;0,013030000030994415;0,06
sem_barragem;263;522,8;833;0,73;29,0;29,7;0,029529999941587448;0,062
sem_barragem;264;528,2;840;1,46;40,0;41,4;0,030009999871253967;0,066
sem_barragem;265;529,7;842;1,17;39,7;40,9;0,024800000712275505;0,051
sem_barragem;266;530,3;843;1,75;14,9;16,6;0,0028899998869746923;0,043
sem_barragem;267;531,0;844;1,22;25,2;26,4;0,024390000849962234;0,058
sem_barragem;268;531,7;845;1,41;14,8;16,3;0,02092999964952469;0,052
sem_barragem;269;531,9;845;3,77;33,0;36,8;0,022059999406337738;0,066
sem_barragem;270;535,4;850;2,02;29,7;31,7;0,017629999667406082;0,069
sem_barragem;271;538,9;854;3,53;31,5;35,0;0,0033199999015778303;0,069
sem_barragem;272;542,4;859;4,16;28,5;32,7;0,0017099999822676182;0,068
sem_barragem;273;546,7;865;3,38;28,4;31,8;0,0029800001066178083;0,067
sem_barragem;274;549,3;868;4,11;26,9;31,0;0,004399999976158142;0,068
sem_barragem;275;550,3;870;3,39;24,4;27,8;0,003220000071451068;0,066
sem_barragem;276;552,6;873;3,82;21,5;25,3;0,0021200000774115324;0,065
