dist_montante_m;estaca_ras_m;x;y;cota_m;cota_talvegue_m
7150,0;32252,2;412271,0486092051;6745911,449449616;18,5;18,5
7200,0;32202,2;412234,5776610178;6745877,246088109;18,5;18,5
7250,0;32152,2;412198,1067128305;6745843,042726603;18,5;18,5
7300,0;32102,2;412161,6357646432;6745808,839365097;18,5;18,5
7350,0;32052,2;412125,1648164559;6745774,636003591;18,5;18,5
7400,0;32002,2;412088,69386826863;6745740,432642085;18,5;18,5
7450,0;31952,2;412052,22292008135;6745706,229280579;18,5;18,5
7500,0;31902,2;412015,75197189406;6745672,025919072;18,5;18,5
7550,0;31852,2;411979,2810237068;6745637,822557567;18,5;18,5
7600,0;31802,2;411942,8100755195;6745603,61919606;18,5;18,5
7650,0;31752,2;411906,3391273322;6745569,4158345545;18,5;18,5
7700,0;31702,2;411869,8681791449;6745535,212473048;18,5;18,5
7750,0;31652,2;411833,39723095763;6745501,009111541;18,5;18,5
7800,0;31602,2;411786,5743162238;6745485,858635821;18,5;18,5
7850,0;31552,2;411738,0323457826;6745473,872097302;18,5;18,5
7900,0;31502,2;411689,49037534144;6745461,885558782;18,5;18,5
7950,0;31452,2;411640,94840490026;6745449,899020262;18,5;18,0
8000,0;31402,2;411592,4064344591;6745437,912481742;18,5;18,0
8050,0;31352,2;411543,8644640179;6745425,925943223;18,5;18,0
8100,0;31302,2;411495,32249357674;6745413,939404703;18,5;18,0
8150,0;31252,2;411446,7805231355;6745401,952866183;18,0;18,0
8200,0;31202,2;411398,0527779133;6745393,275041645;18,0;18,0
8250,0;31152,2;411348,4741133721;6745399,7523885025;18,0;18,0
8300,0;31102,2;411298,8954488309;6745406,22973536;18,0;18,0
8350,0;31052,2;411249,31678428967;6745412,707082218;18,0;18,0
8400,0;31002,2;411199,7381197485;6745419,184429075;18,0;18,0
8450,0;30952,2;411150,1594552073;6745425,661775933;18,0;18,0
8500,0;30902,2;411100,5807906661;6745432,13912279;18,0;18,0
8550,0;30852,2;411051,0021261249;6745438,616469648;18,0;18,0
8600,0;30802,2;411006,5945858018;6745457,9526777975;18,0;18,0
8650,0;30752,2;410966,3349483588;6745487,603337031;18,0;18,0
8700,0;30702,2;410926,07531091577;6745517,253996263;18,0;18,0
8750,0;30652,2;410885,8156734727;6745546,904655497;18,0;18,0
8800,0;30602,2;410845,5560360297;6745576,55531473;18,0;18,0
8850,0;30552,2;410805,29639858665;6745606,205973963;18,0;18,0
8900,0;30502,2;410765,0367611436;6745635,856633196;18,0;18,0
8950,0;30452,2;410724,7771237006;6745665,507292429;18,0;18,0
9000,0;30402,2;410687,52428664576;6745695,856671549;18,0;18,0
9050,0;30352,2;410710,58420945227;6745740,221522053;18,0;18,0
